  Language_ISO639;hu
  Author_Email;DirektX@freemail.hu
  Author_Name;DirektX
  Author_OldNames;
  Language_Name;magyar
  Config_Text_ColumnSize;40
  Config_Text_Separator; : 
  Config_Text_NumberTag; #
  Config_Text_FloatSeparator;,
  Config_Text_ThousandsSeparator; 
 audio stream1; hangsáv
 audio stream2; hangsáv
 audio stream3; hangsáv
 bit1; bit
 bit2; bit
 bit3; bit
 bps; bps
 Bps; Bps
 Byte1; bájt
 Byte2; bájt
 Byte3; bájt
 channel1; csatorna
 channel2; csatorna
 channel3; csatorna
 chapter1; fejezet
 chapter2; fejezet
 chapter3; fejezet
 chapters stream1; fejezetsáv
 chapters stream2; fejezetsáv
 chapters stream3; fejezetsáv
 character1;
 character2;
 character3;
 day1; nap
 day2; nap
 day3; nap
 dB1; dB
 dB2; dB
 dB3; dB
 file1; fájl
 file2; fájl
 file3; fájl
 fps1; fps
 fps2; fps
 fps3; fps
 frame1; képkocka
 frame2; képkocka
 frame3; képkocka
 GB; GB
 Gb; Gb
 Gbps; Gbps
 GBps; GBps
 GHz; GHz
 GiB; GiB
 GibiByte1; GibiBájt
 GibiByte2; GibiBájt
 GibiByte3; GibiBájt
 GiBps; GiBps
 GigaBit1; GigaBit
 GigaBit2; GigaBit
 GigaBit3; GigaBit
 GigaByte1; GigaBájt
 GigaByte2; GigaBájt
 GigaByte3; GigaBájt
 hour1; óra
 hour2; óra
 hour3; óra
 Hz; Hz
 image stream1; képadat
 image stream2; képadat
 image stream3; képadat
 KB; Kbps
 Kb; Kb
 KBps; KBps
 Kbps; Kbps
 KHz; KHz
 KiB; KiB
 KibiBit1; KibiBit
 KibiBit2; KibiBit
 KibiBit3; KibiBit
 KibiByte1; KibiBájt
 KibiByte2; KibiBájt
 KibiByte3; KibiBájt
 KiBps; KiBps
 KiloBit1; KiloBit
 KiloBit2; KiloBit
 KiloBit3; KiloBit
 KiloByte1; KiloBájt
 KiloByte2; KiloBájt
 KiloByte3; KiloBájt
 MB; MB
 Mb; Mb
 Mbps; Mbps
 MBps; MebiBájt
 MebiBit1; MebiBit
 MebiBit2; MebiBit
 MebiBit3; MebiBit
 MebiByte1; MebiBájt
 MebiByte2; MebiBájt
 MebiByte3; MebiBájt
 MegaBit1; MegaBit
 MegaBit2; MegaBit
 MegaBit3; MegaBit
 MegaByte1; MegaBájt
